Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
dens_3881511669765346,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.298,,O,Solvent,0.702,,1.0309000000000004,0.00255,,,10.1021/je020191g
dhmix_4129982627140506,298.2,101.3,Liquid,2,CCOC(=O)CC(=O)OCC,Solvent,0.2515,,CO,Solvent,0.7484999999999999,,,,1.083,0.0115,10.1021/je9003806
dhmix_8746820869913363,298.15,100.0,Liquid,2,CC(=O)CC(C)=O,Solvent,0.2004,,O,Solvent,0.7996,,,,0.1562,0.0021,10.1016/j.fluid.2007.12.008
dhmix_9109633210018884,298.15,101.0,Liquid,2,CCCOC=O,Solvent,0.5035,,ClCCCl,Solvent,0.4965,,,,-0.254,0.003,10.1016/j.jct.2008.10.007
dhmix_14477488793854648,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.5055,,COC(C)=O,Solvent,0.4945,,,,0.238,0.0025,10.1021/acs.jced.5b00813
dens_15337148695697105,298.15,100.0,Liquid,2,C1CCOCC1,Solvent,0.7686,,O=C1CCCCCC1,Solvent,0.2314,,0.9012200000000002,0.000505,,,10.1021/acs.jced.6b00606
dens_16058701216155390,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.7258,,COC=O,Solvent,0.2742,,0.8955000000000002,0.000135,,,10.1016/j.jct.2015.02.019
dens_16860003250172961,293.15,100.0,Liquid,2,C=CCCCC,Solvent,0.5018,,CCCCO,Solvent,0.4982,,0.7340000000000002,0.00035,,,10.1021/je301301j
dens_17020549894674398,298.15,101.3,Liquid,2,CCCCCC(C)=O,Solvent,0.7418,,CCCNCCC,Solvent,0.2582,,0.7918920000000003,0.00012,,,10.1016/j.jct.2011.05.003
dens_18082888478860427,298.15,100.0,Liquid,2,C1CCCCC1,Solvent,0.7622,,C1CCOCC1,Solvent,0.2378,,0.7952000000000002,0.000505,,,10.1016/j.jct.2014.06.030
dhmix_20420166936706352,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.4866,,OCc1ccccc1,Solvent,0.5134000000000001,,,,0.9688,0.0104,10.1021/je050085p
dens_25974551974109971,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.7572,,OCc1ccccc1,Solvent,0.2428,,0.9686500000000002,0.000215,,,10.1021/je050085p
dhmix_26782117301212118,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.21,,ClCCCCCl,Solvent,0.79,,,,-0.406,0.003,10.1016/j.jct.2008.01.024
dhmix_29644742693186424,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7209,,COC(C)=O,Solvent,0.2791,,,,0.2594,0.0028,10.1016/j.jct.2006.05.004
dens_34010468674868557,298.15,101.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.5345,,CC(C)O,Solvent,0.4655,,0.9375600000000002,0.0002,,,10.1021/je9005823
dhmix_35791337357208338,298.15,101.0,Liquid,2,CCCCNCCCC,Solvent,0.2493999999999999,,CN(C)C=O,Solvent,0.7506,,,,0.921,0.029,10.1016/j.fluid.2019.112283
dens_37727770347378979,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.505,,O,Solvent,0.495,,0.8581580000000002,9.450000000000002e-05,,,10.1016/j.fluid.2010.05.001
dens_38391414616007708,298.15,100.0,Liquid,2,CC(C)O,Solvent,0.4413,,CCOC=O,Solvent,0.5587,,0.8482000000000003,0.00035,,,10.1021/je500848q
dens_41779545535906987,298.15,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.2938,,CCCCCCCCCl,Solvent,0.7061999999999999,,0.8796000000000003,0.00045,,,10.1021/je700096m
dens_43142089383747956,298.15,100.8,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.25,,CC(C)OC(C)C,Solvent,0.75,,0.7090800000000002,0.000155,,,10.1021/je050367p
dhmix_45502958580113436,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.3486,,COC=O,Solvent,0.6514,,,,0.422,0.0045,10.1016/j.jct.2015.02.019
dhmix_45904774577450732,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.526,,CCCCCO,Solvent,0.474,,,,0.97,0.00615,10.1021/je060368x
dhmix_48742361789438210,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.4821,,Cc1ccccc1,Solvent,0.5179,,,,-0.2985,0.0033,10.1016/j.jct.2010.12.016
dhmix_52122239443980553,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7639,,CCCCOC(=O)CCC,Solvent,0.2361,,,,0.051,0.001,10.1016/j.jct.2009.05.006
dens_54591503254409632,298.42,101.0,Liquid,2,CC#N,Solvent,0.5016,,CCOC(C)(C)C,Solvent,0.4984,,0.7510000000000002,0.00035,,,10.1021/je301238f
dens_58674289346864239,303.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.4795,,CN1CCCC1=O,Solvent,0.5205,,0.9166100000000004,0.00261,,,10.1016/j.jct.2009.01.006
dhmix_60134023807129390,298.15,101.325,Liquid,2,CCCO,Solvent,0.2374,,O=Cc1ccccc1,Solvent,0.7626,,,,1.2579,0.0055,10.1016/j.jct.2011.05.014
dens_61657326036090136,298.15,101.0,Liquid,2,CCCOC=O,Solvent,0.7636,,ClCCCCl,Solvent,0.2364,,0.9644500000000004,0.00119,,,10.1016/j.jct.2008.10.007
dens_62246191477403288,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2498,,c1ccccc1,Solvent,0.7502,,0.8405780000000002,7.05e-05,,,10.1016/j.tca.2012.04.002
dens_64024990856225729,308.15,101.32,Liquid,2,OCCO,Solvent,0.5057,,OCc1ccccc1,Solvent,0.4942999999999999,,1.0579000000000005,0.00027,,,10.1021/je0342062
dens_65090258951632984,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.2004,,Cc1ccccc1,Solvent,0.7996,,0.8299700000000002,0.00014,,,10.1016/j.fluid.2008.06.019
dhmix_65272122153949862,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5467,,c1ccccc1,Solvent,0.4533,,,,-0.4943,0.00535,10.1016/j.jct.2010.12.016
dhmix_66964298644178594,298.15,101.0,Liquid,2,O,Solvent,0.5011,,OCCN1CCOCC1,Solvent,0.4989,,,,-2.2633,0.02415,10.1016/j.jct.2015.06.006
dhmix_68326956992969284,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7005,,CCCCO,Solvent,0.2995,,,,0.6228,0.0028,10.1016/j.fluid.2012.06.031
dhmix_74169972508019963,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7266,,C1CCOCC1,Solvent,0.2734,,,,0.4424,0.00485,10.1016/j.tca.2010.03.028
dhmix_75724716035417509,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.5086,,CNc1ccccc1,Solvent,0.4913999999999999,,,,-0.672,0.0075,10.1021/je200333p
dhmix_76674223723028407,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.6359,,c1ccncc1,Solvent,0.3641,,,,-0.4013,0.10035,10.1016/j.jct.2013.09.015
dens_78006006148735265,293.15,101.325,Liquid,2,Cc1cccnc1,Solvent,0.5,,O,Solvent,0.5,,0.9797000000000002,0.0003,,,10.1016/j.jct.2004.11.009
dhmix_78810465534250245,298.15,101.0,Liquid,2,CCCCC,Solvent,0.5001,,CCOC=O,Solvent,0.4999,,,,1.354,0.0055,10.1016/j.fluid.2013.11.026
dhmix_79456699048824806,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5,,ClCCCl,Solvent,0.5,,,,-1.264,0.0055,10.1016/j.jct.2008.01.024
dens_83483902364127306,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.23126,,c1ccncc1,Solvent,0.76874,,0.9906030000000002,0.0001015,,,10.1021/je400184t
dens_83694892672736667,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.0824,,CCO,Solvent,0.9176,,0.7605800000000003,0.000125,,,10.1021/je9001416
dhmix_84368047197915959,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.2347,,COC(C)=O,Solvent,0.7653,,,,0.173,0.002,10.1021/acs.jced.5b00813
dhmix_85527340668116901,298.43,101.0,Liquid,2,CCC#N,Solvent,0.5014000000000001,,CCOC(C)(C)C,Solvent,0.4986,,,,0.5053,0.00685,10.1021/je301238f
dhmix_86370789880544094,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.499,,CCCCBr,Solvent,0.501,,,,1.207,0.013,10.1021/je020110g
dhmix_87052564931346859,298.15,101.0,Liquid,2,O,Solvent,0.7913,,OCCCO,Solvent,0.2087,,,,-0.924,0.012,10.1016/j.jct.2005.06.018
dhmix_87224321404692519,298.15,101.0,Liquid,2,CO,Solvent,0.5,,O,Solvent,0.5,,,,-0.777,0.0045,10.1016/j.tca.2006.02.028
dhmix_88605880388684165,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.8208,,c1ccccc1,Solvent,0.1792,,,,0.3441,0.00245,10.1016/j.fluid.2013.10.029
dens_92245174805481762,298.39,101.0,Liquid,2,CCC#N,Solvent,0.5025,,CCOC(C)(C)CC,Solvent,0.4975,,0.7683000000000001,0.00035,,,10.1021/je301238f
dhmix_93369778294268669,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.289,,CO,Solvent,0.7110000000000001,,,,0.488,0.0035,10.1016/j.jct.2019.105884
dens_94260345926446663,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.5071,,CCCCCC(C)=O,Solvent,0.4929,,0.8936300000000003,0.00034,,,10.1021/je034223r
dens_94449417795092682,298.15,101.0,Liquid,2,CN(C)CCCO,Solvent,0.8006,,O,Solvent,0.1994,,0.8915100000000002,9.500000000000002e-05,,,10.1016/j.tca.2012.05.025
dens_95376242809292393,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2262999999999999,,Cc1ccccc1Cl,Solvent,0.7737,,1.0396,0.0005,,,10.1021/je400722h
dens_96164616347760886,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.6958,,COC(C)=O,Solvent,0.3042,,0.8997600000000002,0.000505,,,10.1021/acs.jced.5b00813
dhmix_96975902268639908,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1992,,O,Solvent,0.8008,,,,-2.243,0.0455,10.1016/j.jct.2007.03.010
dhmix_99229542500114873,298.15,101.0,Liquid,2,CC#N,Solvent,0.5295,,c1ccccc1,Solvent,0.4705,,,,0.4415,0.00905,10.1021/je100489z
dens_99766236504772178,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2297,,Cc1ccccc1N,Solvent,0.7703,,0.9734540000000002,0.000164,,,10.1016/j.tca.2011.06.020
