FF,stat,n,mle,stderr,mean,low,high,group
smee-v2,RMSE,997,0.4104363428697197,0.020827167226291934,0.41671881640033753,0.3779589201073129,0.46098127027280794,All
smee-v2,MUE,997,0.2643854132074806,0.009885329342185455,0.26868008017599104,0.25002065584505995,0.2890220372752677,All
smee-v2,MSE,997,0.08840462545036792,0.013065841385289788,0.08848985295979116,0.06310876700348322,0.11318481432869965,All
smee-v2,R2,997,0.8125916581912104,0.020368310539009723,0.8045533956262848,0.7628850831858868,0.8439486771836631,All
smee-v2,rho,997,0.901438660248833,0.0112226759637067,0.8975053150780732,0.8741666880292756,0.9175711785551688,All
smee-v2,RMSE,15,0.41213505076793944,0.07777225054545725,0.40834226074954266,0.26001876714991423,0.5560094626835873,"1,2 Diol"
smee-v2,MUE,15,0.32487941994984193,0.06569981480300688,0.3276398552145433,0.21407869962398132,0.47361978128475424,"1,2 Diol"
smee-v2,MSE,15,0.3203577419586283,0.06825019390828388,0.3217429626750842,0.19619438941010472,0.466136119040492,"1,2 Diol"
smee-v2,R2,15,0.5827232861367655,0.1493157534835768,0.5937432771522949,0.29233251137782285,0.89611532361063,"1,2 Diol"
smee-v2,rho,15,0.7633631417200896,0.09942852927035263,0.7634634767583837,0.5301289550979319,0.9350463254619307,"1,2 Diol"
smee-v2,RMSE,12,0.2501524353843785,0.029845675272078858,0.25027927440180864,0.19331050263352317,0.3085415121145529,Acetal
smee-v2,MUE,12,0.22603160059622404,0.032978961463508843,0.22702983674798657,0.16323265798740352,0.2948784997715733,Acetal
smee-v2,MSE,12,0.22603160059622404,0.030775170242250353,0.22698739085842318,0.16774656797294937,0.289181138588364,Acetal
smee-v2,R2,12,0.9076149421955219,0.0782935059204571,0.8802820926575199,0.6916009289845161,0.9777707887032199,Acetal
smee-v2,rho,12,0.9526882712595564,0.041631405443111176,0.9388655923503584,0.8314976336228549,0.9875735972067595,Acetal
smee-v2,RMSE,345,0.46849806572598274,0.03377536257335321,0.4733000403104046,0.4080804899044905,0.5445828093315631,Alcohol
smee-v2,MUE,345,0.3032881806786508,0.01901682670993025,0.308323554500904,0.27441461521322585,0.3494397697382197,Alcohol
smee-v2,MSE,345,0.11298809373543775,0.023742310827885613,0.11412805352255714,0.07085167458280932,0.16272597461506913,Alcohol
smee-v2,R2,345,0.8085901634187345,0.027174899327974924,0.7990228805465063,0.7415634540360047,0.8465550686889739,Alcohol
