FF_ref,stat_ref,n_ref,mle_ref,stderr_ref,mean_ref,low_ref,high_ref,group,FF_tgt,stat_tgt,n_tgt,mle_tgt,stderr_tgt,mean_tgt,low_tgt,high_tgt,mle_diff,Change
Sage 2.2.1,RMSE,94,0.0827681573842123,0.0044364453973205,0.0825199736123119,0.0733580764907671,0.0906884274903901,b74,v3-k100,RMSE,94,0.0244153644852486,0.0053872631488476,0.0237522341016357,0.0141910296131629,0.0342421409560487,-0.058352792898963696,Improved
Sage 2.2.1,RMSE,40,0.0491045930471635,0.0005586966502137,0.0491461345311715,0.0480656803810762,0.0502181054525679,b47,v3-k100,RMSE,40,0.0124062623201787,0.0004872439402376,0.0123784258479341,0.011390119857631,0.0132876695454474,-0.03669833072698479,Improved
Sage 2.2.1,RMSE,34,0.0378982421885364,0.0011212895377787,0.0379002798313498,0.0355011447826041,0.0400874505461615,b76,v3-k100,RMSE,34,0.0054321005974499,0.0006883090650612,0.0054053051589062,0.0040505884847846,0.0068062675045667,-0.0324661415910865,Improved
Sage 2.2.1,RMSE,354,0.0488381613723675,0.0010931265201637,0.048857175331554,0.0466461384675786,0.0508855458669157,b13a,v3-k100,RMSE,354,0.0206364648115642,0.0007132131061695,0.0206484172916761,0.0192814911485324,0.0220412256510295,-0.0282016965608033,Improved
Sage 2.2.1,RMSE,1311,0.04731942262673,0.0003884061517756,0.0473044485003061,0.0465671711705712,0.0480814141554609,b8a,v3-k100,RMSE,1311,0.0207217053583698,0.0005036285848184,0.0207022275102723,0.0196942114764547,0.0216754204877296,-0.026597717268360202,Improved
Sage 2.2.1,RMSE,38,0.0245841079652803,0.0008460895806474,0.0245751918851102,0.022946085444113,0.0262415557423363,b75,v3-k100,RMSE,38,0.0070948361112786,0.0007407904877376,0.0070147658680145,0.0055152968844994,0.0084371610114211,-0.0174892718540017,Improved
Sage 2.2.1,RMSE,58745,0.0234827477963368,6.270718739408074e-05,0.0234808440133376,0.0233560310861307,0.0236046004174608,b9,v3-k100,RMSE,58745,0.0109823904298108,4.146373191697631e-05,0.0109807334221454,0.0108956141419112,0.0110625503344069,-0.012500357366526,Improved
Sage 2.2.1,RMSE,1250,0.1066773227429669,0.0013682698828829,0.1066769275672206,0.1038958118060423,0.1092188737931249,b62,v3-k100,RMSE,1250,0.0967598686122757,0.0011571112306292,0.0967342644980206,0.0945258846114529,0.099043343070718,-0.0099174541306912,Improved
Sage 2.2.1,RMSE,1184,0.1085325771600843,0.0013571264145748,0.1084675346323907,0.1056784722015413,0.1111226122543992,b62a,v3-k100,RMSE,1184,0.0989839487154805,0.001159039562627,0.0990142479586787,0.0967969219434159,0.1011946502113048,-0.009548628444603802,Improved
Sage 2.2.1,RMSE,29911,0.0323319837328104,0.000104328193741,0.0323353505231495,0.0321358211996108,0.0325424942027988,b11,v3-k100,RMSE,29911,0.0245621234474476,0.0001398805077593,0.0245679438567687,0.0242955449480216,0.0248436793273919,-0.007769860285362796,Improved
