FF,stat,n,mle,stderr,mean,low,high,group
fit-iter-1,RMSE,382,0.8236949094171754,0.05097443163168901,0.8773534579094904,0.7776086764120749,0.9838335682916577,All
fit-iter-1,MUE,382,0.5962364808339592,0.03053184692390371,0.646375951242989,0.5860258139259261,0.7066809881208507,All
fit-iter-1,MSE,382,-0.18877933730872176,0.044450313273628424,-0.189296136971839,-0.27566273875929126,-0.09615505912432121,All
fit-iter-1,R2,382,0.8709190680039127,0.019359984045378243,0.8526033054648765,0.812643846253121,0.8875476091335419,All
fit-iter-1,rho,382,0.9332304474265257,0.010341225910518219,0.9237134380957147,0.9028746146026561,0.9416007329694044,All
fit-iter-1,RMSE,91,0.8216830423782001,0.10701978530146855,0.8749425165630696,0.6903255771175472,1.1065911368670258,Alcohol
fit-iter-1,MUE,91,0.6100559300392966,0.06075832474176294,0.6579289587354306,0.5452262884049613,0.7814885244190628,Alcohol
fit-iter-1,MSE,91,0.015442340449325236,0.093610539662322,0.01771487471989162,-0.16366711894742086,0.19999875205152928,Alcohol
fit-iter-1,R2,91,0.8649639561512402,0.06672395654151606,0.8312888493468907,0.6765940078931498,0.9272304873659368,Alcohol
fit-iter-1,rho,91,0.9300343843919107,0.03639464446244627,0.9115501160905897,0.8189334219861322,0.9622111065864014,Alcohol
fit-iter-1,RMSE,19,0.8995380646949862,0.16800735530463817,0.9436263153508639,0.6321232809505097,1.2798433181310518,Aldehyde
fit-iter-1,MUE,19,0.6819032644405677,0.13929472617690142,0.7381040629105204,0.494059742037052,1.0414982186629154,Aldehyde
fit-iter-1,MSE,19,-0.15490627443349422,0.21364668165046968,-0.143879358751055,-0.5553352498049083,0.29792726497212574,Aldehyde
fit-iter-1,R2,19,0.9264649596814692,0.038348141308130475,0.9200432730030685,0.8293396455534535,0.9733466069997291,Aldehyde
fit-iter-1,rho,19,0.9625304980526436,0.021093010248506152,0.9575306335721371,0.9040989426278467,0.9855678150182013,Aldehyde
fit-iter-1,RMSE,138,0.7028708681631747,0.10906140195276716,0.7605568093896328,0.5703551625829117,0.9832303618614832,Alkane
fit-iter-1,MUE,138,0.44449430959383934,0.04673557243907933,0.5181798512944592,0.4356028945250548,0.6145763527555255,Alkane
fit-iter-1,MSE,138,-0.0006422894863728675,0.0656682448454931,-0.003093552909603073,-0.13061703659671156,0.1294549636399141,Alkane
fit-iter-1,R2,138,0.8652445366911581,0.03434330297761463,0.8461960828180043,0.7764200286747326,0.9076906892604609,Alkane
fit-iter-1,rho,138,0.9301852163365951,0.018470105634037413,0.920511079389687,0.8832982471788775,0.9542967354456061,Alkane
fit-iter-1,RMSE,10,0.6093313070704902,0.137831939231507,0.6645001971906084,0.39663780837136536,0.9417925237754379,Alkyl Bromide
fit-iter-1,MUE,10,0.4651200937570632,0.1275914286399948,0.5427082640034644,0.32645098369414705,0.8204518117359572,Alkyl Bromide
fit-iter-1,MSE,10,0.05086088272888507,0.21236782874449597,0.044138104443218765,-0.35808164029200207,0.4590001937209168,Alkyl Bromide
fit-iter-1,R2,10,0.8781486094660074,0.1227125754735727,0.8461638710444694,0.507776335796927,0.9724122878748614,Alkyl Bromide
fit-iter-1,rho,10,0.9370958379301487,0.07737482318979733,0.9156374727931804,0.7210539314346691,0.9867239571108342,Alkyl Bromide
fit-iter-1,RMSE,20,0.8949150852597282,0.17585263359290243,0.9223483672624977,0.6284026823924399,1.2937912385205361,Alkyl Chloride
fit-iter-1,MUE,20,0.7038134370214391,0.13472519793986457,0.7432951024912445,0.5053280931911075,1.0264470229501537,Alkyl Chloride
fit-iter-1,MSE,20,-0.30182189654825137,0.20168031159473837,-0.30538817279033087,-0.7175093025593503,0.08002451714316658,Alkyl Chloride
fit-iter-1,R2,20,0.9122347779058957,0.03055439873839856,0.9045948585788403,0.8359514698000474,0.9568974491127341,Alkyl Chloride
fit-iter-1,rho,20,0.9551098250494005,0.015961829256128,0.951435210031472,0.9166796119284336,0.9794254666039844,Alkyl Chloride
fit-iter-1,RMSE,14,0.5317347707609674,0.09621962962484867,0.6037276298472606,0.4182992730972906,0.7920320429146738,Alkylarylether
fit-iter-1,MUE,14,0.47811966490947233,0.09205440451294937,0.5170462143589866,0.3512711619491004,0.7063140485274093,Alkylarylether
fit-iter-1,MSE,14,-0.23721375469021747,0.15772147348479257,-0.24584918537355566,-0.5484265684654704,0.06220876894484663,Alkylarylether
fit-iter-1,R2,14,0.8934114204779224,0.15554446461561375,0.7076670274043152,0.2948339782811178,0.9157131580397665,Alkylarylether
fit-iter-1,rho,14,0.9452044331666682,0.1028877296320053,0.8355976185278701,0.5808850811587054,0.9587934628755693,Alkylarylether
fit-iter-1,RMSE,72,0.7019247408921571,0.08315051752751752,0.7678651326367477,0.6086246404548081,0.931435265477065,Amine
fit-iter-1,MUE,72,0.5467648061144144,0.058340763104057315,0.5936534854127411,0.4832446207012282,0.7120543429835079,Amine
fit-iter-1,MSE,72,0.22679334490219608,0.08735028851591584,0.2323587150313036,0.06351843834133047,0.39167872450535246,Amine
fit-iter-1,R2,72,0.8750852313544419,0.03144626718060752,0.83957712376592,0.7750428357197288,0.8975538413154553,Amine
fit-iter-1,rho,72,0.9354599036593934,0.017750191514012827,0.9156994622952632,0.8761654929492972,0.9465550640466426,Amine
fit-iter-1,RMSE,209,0.8943017813518969,0.07866634156671945,0.9439487350194046,0.7940515630325573,1.1071405995574142,Aromatic
fit-iter-1,MUE,209,0.6355991676276228,0.046387882619689444,0.6839712939782158,0.5998533216591045,0.7809850429263314,Aromatic
fit-iter-1,MSE,209,-0.26023449658558667,0.06302187819053903,-0.26208119822487286,-0.3807292739032072,-0.13825369305075216,Aromatic
fit-iter-1,R2,209,0.8684162768046492,0.02763531041273846,0.8513941807878591,0.7904047490978368,0.8989112321371785,Aromatic
