,dataset,ligand_A,ligand_B,exp_ddG,exp_err,calc_ddG,calc_err,FF
0,bace,CAT-4j,CAT-4o,-0.3600006103515625,0.0,-0.39,0.1,Sage 2.3.0 + AshGC
1,bace,CAT-4p,CAT-13m,1.3200006484985352,0.0,0.24,0.26,Sage 2.3.0 + AshGC
2,bace,CAT-24,CAT-17d,1.927000045776369,0.0,2.86,0.36,Sage 2.3.0 + AshGC
3,bace,CAT-13k,CAT-4d,0.5900001525878906,0.0,-0.58,0.27,Sage 2.3.0 + AshGC
4,bace,CAT-24,CAT-17i,1.877000808715822,0.0,2.0,0.17,Sage 2.3.0 + AshGC
5,bace,CAT-13e,CAT-13b,0.8400001525878924,0.0,1.66,0.58,Sage 2.3.0 + AshGC
6,bace,CAT-13d,CAT-13a,1.6299991607666016,0.0,2.24,0.48,Sage 2.3.0 + AshGC
7,bace,CAT-13j,CAT-4i,0.4700002670288086,0.0,0.5,0.3,Sage 2.3.0 + AshGC
8,bace,CAT-13a,CAT-17h,-1.489999771118164,0.0,-1.06,0.32,Sage 2.3.0 + AshGC
9,bace,CAT-4n,CAT-4p,-0.989999771118164,0.0,-0.1,0.21,Sage 2.3.0 + AshGC
10,bace,CAT-13g,CAT-4p,-0.989999771118164,0.0,0.4,0.27,Sage 2.3.0 + AshGC
11,bace,CAT-4m,CAT-4p,-0.9300003051757812,0.0,-0.01,0.18,Sage 2.3.0 + AshGC
12,bace,CAT-13k,CAT-4o,0.3199996948242187,0.0,0.51,0.25,Sage 2.3.0 + AshGC
13,bace,CAT-13j,CAT-13m,-0.0299997329711914,0.0,-0.42,0.16,Sage 2.3.0 + AshGC
14,bace,CAT-13a,CAT-13c,-0.4799995422363281,0.0,-0.12,0.31,Sage 2.3.0 + AshGC
15,bace,CAT-13a,CAT-13g,-0.25,0.0,-1.14,0.32,Sage 2.3.0 + AshGC
16,bace,CAT-4a,CAT-4l,-1.4100003242492676,0.0,1.46,0.12,Sage 2.3.0 + AshGC
17,bace,CAT-4k,CAT-4j,-1.169999599456787,0.0,-0.78,0.26,Sage 2.3.0 + AshGC
18,bace,CAT-13h,CAT-17a,-1.0999994277954102,0.0,-3.13,0.24,Sage 2.3.0 + AshGC
19,bace,CAT-4b,CAT-4d,0.5200004577636719,0.0,1.06,0.12,Sage 2.3.0 + AshGC
20,bace,CAT-13n,CAT-4p,-1.5399999618530271,0.0,-2.41,0.39,Sage 2.3.0 + AshGC
21,bace,CAT-13b,CAT-13a,0.2799997329711914,0.0,-1.42,0.23,Sage 2.3.0 + AshGC
22,bace,CAT-17g,CAT-17e,-0.2799997329711914,0.0,-1.64,0.07,Sage 2.3.0 + AshGC
23,bace,CAT-4p,CAT-4o,0.6999998092651367,0.0,1.06,0.12,Sage 2.3.0 + AshGC
24,bace,CAT-13d,CAT-17a,-0.2600002288818359,0.0,-0.43,0.1,Sage 2.3.0 + AshGC
25,bace,CAT-4a,CAT-4k,0.0799999237060546,0.0,1.3,0.13,Sage 2.3.0 + AshGC
26,bace,CAT-17i,CAT-17h,-0.8600006103515625,0.0,0.05,0.06,Sage 2.3.0 + AshGC
27,bace,CAT-13e,CAT-13a,1.1199998855590838,0.0,2.07,0.28,Sage 2.3.0 + AshGC
28,bace,CAT-4c,CAT-4d,-1.2599997520446775,0.0,-0.58,0.3,Sage 2.3.0 + AshGC
29,bace,CAT-13b,CAT-13c,-0.1999998092651367,0.0,0.67,0.49,Sage 2.3.0 + AshGC
30,bace,CAT-4l,CAT-4j,0.3200006484985351,0.0,-1.02,0.04,Sage 2.3.0 + AshGC
31,bace,CAT-4m,CAT-4j,0.1300001144409179,0.0,1.33,0.22,Sage 2.3.0 + AshGC
32,bace,CAT-13a,CAT-13o,0.3000001907348633,0.0,-1.6,0.97,Sage 2.3.0 + AshGC
33,bace,CAT-13j,CAT-13g,-0.3600006103515625,0.0,-0.23,0.33,Sage 2.3.0 + AshGC
34,bace,CAT-4m,CAT-13k,-0.5500001907348633,0.0,1.03,0.39,Sage 2.3.0 + AshGC
35,bace,CAT-17b,CAT-17e,0.0,0.0,0.36,0.04,Sage 2.3.0 + AshGC
36,bace,CAT-13a,CAT-13f,-0.25,0.0,-0.11,0.37,Sage 2.3.0 + AshGC
37,bace,CAT-17g,CAT-17i,0.2700004577636719,0.0,-1.04,0.25,Sage 2.3.0 + AshGC
38,bace,CAT-13d,CAT-17h,0.1399993896484375,0.0,0.39,0.01,Sage 2.3.0 + AshGC
39,bace,CAT-17i,CAT-17c,-0.3900003433227539,0.0,-0.55,0.1,Sage 2.3.0 + AshGC
40,bace,CAT-17f,CAT-17d,0.0,0.0,1.31,0.36,Sage 2.3.0 + AshGC
41,bace,CAT-17b,CAT-13h,0.3899993896484375,0.0,2.65,0.37,Sage 2.3.0 + AshGC
42,bace,CAT-17f,CAT-17c,-0.4399995803833008,0.0,-0.61,0.09,Sage 2.3.0 + AshGC
