,label,calc_dG,calc_err,exp_dG,exp_err,dataset
36,CAT-4m,-9.93099839717993,0.2699512137883097,-9.152999877929688,0.0,bace
37,CAT-13k,-8.416568826996297,0.32950131650881404,-9.70300006866455,0.0,bace
38,CAT-4p,-9.927198760382403,0.23428595428649265,-10.083000183105469,0.0,bace
39,CAT-4j,-8.388658581613402,0.2837359861076757,-9.02299976348877,0.0,bace
40,CAT-4b,-9.677878624898561,0.35877239091353447,-9.633000373840332,0.0,bace
41,CAT-4d,-8.809357263936668,0.38605364229608624,-9.11299991607666,0.0,bace
42,CAT-4o,-8.834107189753023,0.26752357326013126,-9.383000373840332,0.0,bace
43,CAT-17g,-9.365043775862262,0.44684265268604223,-9.743000030517578,0.0,bace
44,CAT-17i,-10.717563125082094,0.39557225243321087,-9.472999572753906,0.0,bace
45,CAT-17e,-10.60365846288758,0.5126084207844556,-10.02299976348877,0.0,bace
46,CAT-17h,-10.608106499614202,0.3937298638041031,-10.333000183105469,0.0,bace
47,CAT-17c,-10.911020763289493,0.40804619608473525,-9.86299991607666,0.0,bace
48,CAT-13a,-7.908027687891584,0.22711671731688748,-8.843000411987305,0.0,bace
49,CAT-13i,-10.008027687891595,0.37728386447860607,-9.27299976348877,0.0,bace
50,CAT-13o,-8.291960828626223,0.36231024547206625,-8.543000221252441,0.0,bace
51,CAT-13g,-9.7319684251753,0.278741650127181,-9.093000411987305,0.0,bace
52,CAT-13c,-7.92934898608973,0.27915416591217884,-9.322999954223633,0.0,bace
53,CAT-13f,-9.086678121238686,0.40241389825053137,-9.093000411987305,0.0,bace
54,CAT-4k,-7.7331200220213105,0.2875637734095028,-7.853000164031982,0.0,bace
55,CAT-13j,-8.81538376754908,0.26847308953349885,-8.732999801635742,0.0,bace
56,CAT-4i,-8.504832996766027,0.2912421848273038,-8.262999534606934,0.0,bace
57,CAT-13m,-9.115637164969076,0.263771306547947,-8.762999534606934,0.0,bace
58,CAT-17f,-10.583163386776562,0.436017841405187,-9.42300033569336,0.0,bace
59,CAT-17d,-9.007052820862263,0.5074105185872662,-9.42300033569336,0.0,bace
60,CAT-24,-12.581527796328402,0.4299736140272512,-11.350000381469728,0.0,bace
61,CAT-13n,-7.986998590741237,0.2711680369282205,-8.543000221252441,0.0,bace
62,CAT-4n,-9.831765480169668,0.252184502300855,-9.093000411987305,0.0,bace
63,CAT-4l,-7.922285095316408,0.3334685275723313,-9.343000411987305,0.0,bace
64,CAT-13b,-7.13222669090657,0.5233160277305688,-9.123000144958496,0.0,bace
65,CAT-13d,-10.829998611314672,0.39467421450912193,-10.472999572753906,0.0,bace
66,CAT-17a,-11.5926285440501,0.40702524752141916,-10.732999801635742,0.0,bace
67,CAT-13e,-10.128901337044375,0.5549012801760951,-9.963000297546388,0.0,bace
68,CAT-4c,-8.43935726393666,0.5145209997410415,-7.853000164031982,0.0,bace
69,CAT-17b,-10.642267424085354,0.5139643132393631,-10.02299976348877,0.0,bace
70,CAT-13h,-7.402190027206082,0.4770322427919139,-9.633000373840332,0.0,bace
71,CAT-4a,-8.819493508318317,0.33468950555294585,-7.933000087738037,0.0,bace
34,2o,-11.728130750584683,0.3833525061297318,-10.489999771118164,0.0,p38
35,2n,-11.652168300366515,0.18351108823266962,-11.850000381469728,0.0,p38
36,3fln,-10.376687549370796,0.10877935286525287,-10.880000114440918,0.0,p38
37,2r,-11.150976964626505,0.29742158928078916,-10.789999961853027,0.0,p38
38,2s,-11.21938851697307,0.3986710720681869,-11.109999656677246,0.0,p38
39,2j,-9.462213181712919,0.12562898555217933,-10.079999923706056,0.0,p38
40,2ee,-11.05828894746568,0.2129081175553942,-12.260000228881836,0.0,p38
41,2ff,-10.513792675839225,0.16808636863718898,-11.4399995803833,0.0,p38
42,2t,-12.148114457798387,0.1774137317355986,-11.850000381469728,0.0,p38
43,2v,-8.363103204080808,0.17603205132280886,-8.970000267028809,0.0,p38
44,2l,-11.694450365541858,0.12478407883359009,-12.260000228881836,0.0,p38
45,2k,-9.352873949505604,0.1222334450014581,-10.550000190734863,0.0,p38
46,2p,-11.188801491039944,0.26869940166952533,-11.199999809265137,0.0,p38
47,2gg,-9.2184091250971,0.1770922979866931,-10.65999984741211,0.0,p38
48,2e,-9.164842679545618,0.11638850705438804,-10.699999809265137,0.0,p38
49,2g,-10.52375170250787,0.11162003911773222,-10.65999984741211,0.0,p38
50,2c,-11.330470300689157,0.1645956957215523,-10.460000038146973,0.0,p38
51,3flz,-9.724302630548397,0.12154548250488775,-9.489999771118164,0.0,p38
52,2h,-9.489040958706214,0.1592249974580484,-9.479999542236328,0.0,p38
53,2i,-9.389826082673153,0.1701986283068922,-10.050000190734863,0.0,p38
54,2m,-11.702873949505605,0.14479138264651334,-10.960000038146973,0.0,p38
55,2bb,-9.413103204080688,0.7203423945915309,-9.0600004196167,0.0,p38
56,2z,-10.500014365270513,0.596960108912504,-10.359999656677246,0.0,p38
57,3fly,-10.339663084457392,0.1996869975443614,-11.420000076293944,0.0,p38
58,2u,-11.62671541343218,0.3142339482590059,-12.260000228881836,0.0,p38
59,3fmh,-10.599663084457251,0.7732389193516137,-10.829999923706056,0.0,p38
60,2f,-9.282997809720431,0.12101542091892761,-8.479999542236328,0.0,p38
61,2aa,-10.679035332099051,0.6698741014426546,-9.270000457763672,0.0,p38
62,3flq,-13.37198020662284,0.6777701020932445,-9.93000030517578,0.0,p38
63,3flw,-11.729747194149429,0.6234189570513068,-10.68000030517578,0.0,p38
64,2q,-12.274321687630156,0.4746964286724743,-12.260000228881836,0.0,p38
65,2x,-9.697484469068485,0.20051048642583108,-10.229999542236328,0.0,p38
66,2y,-9.96310320408067,0.938295821049421,-9.779999732971191,0.0,p38
67,3fmk,-12.649663084457337,0.524565548464005,-11.829999923706056,0.0,p38
21,18658-1,-10.273483908644968,0.20044389339039398,-9.699999809265137,0.0,jnk1
22,18631-1,-9.396316860590083,0.07039140259518478,-9.40999984741211,0.0,jnk1
23,18625-1,-8.181641022512911,0.20398530354708835,-8.109999656677246,0.0,jnk1
24,18624-1,-7.422283021247897,0.07289532115724541,-8.489999771118164,0.0,jnk1
25,17124-1,-10.963850895008271,0.09930162506307329,-9.68000030517578,0.0,jnk1
26,18637-1,-10.98239321475745,0.33609175505282085,-10.140000343322754,0.0,jnk1
27,18634-1,-10.184618920086649,0.07654724326692584,-9.989999771118164,0.0,jnk1
28,18638-1,-10.69794855382693,0.2107288485720933,-10.09000015258789,0.0,jnk1
29,18652-1,-10.922421361818053,0.17884336584652133,-10.68000030517578,0.0,jnk1
30,18630-1,-7.806685298287751,0.07952353486660188,-9.140000343322754,0.0,jnk1
31,18632-1,-8.131163476655871,0.07924899714921967,-9.079999923706056,0.0,jnk1
32,18633-1,-7.994477834657139,0.09717207791123637,-9.170000076293944,0.0,jnk1
33,18626-1,-8.33105225201713,0.08145579493158626,-8.869999885559082,0.0,jnk1
34,18629-1,-8.075359944324823,0.08107898067126407,-8.670000076293945,0.0,jnk1
35,18635-1,-8.108746285670804,0.2132821811908701,-7.289999961853027,0.0,jnk1
36,18628-1_flip,-7.542709966219431,0.16108785664466896,-8.699999809265137,0.0,jnk1
37,18627-1,-7.92752179417643,0.1039885292134303,-8.479999542236328,0.0,jnk1
38,18639-1,-11.039148700650909,0.17523990591986388,-9.739999771118164,0.0,jnk1
39,18659-1,-9.257346608873824,0.1848215441219152,-9.470000267028809,0.0,jnk1
40,18660-1,-8.807346608873821,0.30117540108585905,-8.699999809265137,0.0,jnk1
41,18636-1,-9.063483127776067,0.223073566981977,-7.510000228881836,0.0,jnk1
16,20,-9.215557632815381,0.20056619747499413,-8.720000267028809,0.0,cdk2
17,1h1q,-7.910385987697234,0.12020574006293058,-8.180000305175781,0.0,cdk2
18,1oiy,-9.20328558191764,0.19301241720484763,-9.789999961853027,0.0,cdk2
19,1oi9,-10.010670341036857,0.158694339116772,-9.739999771118164,0.0,cdk2
20,22,-7.451623545177584,0.262105883232583,-7.860000133514404,0.0,cdk2
21,30,-9.35061323787863,0.16768144224203374,-9.8100004196167,0.0,cdk2
22,31,-9.026910068448101,0.1362396383743296,-9.539999961853027,0.0,cdk2
23,1h1s,-10.404277571304384,0.21870958152961742,-11.25,0.0,cdk2
24,29,-9.39548898811202,0.319397071360956,-9.880000114440918,0.0,cdk2
25,32,-8.560302339797074,0.2577730862696822,-9.75,0.0,cdk2
26,17,-8.893006958502186,0.13399285669142044,-7.039999961853027,0.0,cdk2
27,1h1r,-8.75226454845484,0.1349300413823419,-7.670000076293945,0.0,cdk2
28,1oiu,-10.787626258124906,0.21582951362005645,-9.079999923706056,0.0,cdk2
29,26,-8.638006017498162,0.18725201931267263,-8.430000305175781,0.0,cdk2
30,21,-7.435214342579092,0.2005661974749941,-7.829999923706055,0.0,cdk2
31,28,-10.644767362668887,0.4191248377635785,-11.109999656677246,0.0,cdk2
23,23482,-10.022917664454557,0.26431295072083855,-10.010000228881836,0.0,ptp1b
24,23486,-11.9910096666808,0.3468633724628492,-12.470000267028809,0.0,ptp1b
25,23479,-8.812917664454622,0.14942072583835309,-9.140000343322754,0.0,ptp1b
